DAY,MONTH,YEAR,Rainfall
1,1,2015,19.664
2,1,2015,35.26
3,1,2015,60.42
4,1,2015,30.54
5,1,2015,19.594
6,1,2015,26.777
7,1,2015,37.604
8,1,2015,26.393
9,1,2015,15.633
10,1,2015,17.359
11,1,2015,74.235
12,1,2015,44.094
13,1,2015,79.19
14,1,2015,4.546
15,1,2015,78.239
16,1,2015,45.529
17,1,2015,44.719
18,1,2015,50.753
19,1,2015,54.774
20,1,2015,34.697
21,1,2015,39.057
22,1,2015,56.622
23,1,2015,79.394
24,1,2015,14.82
25,1,2015,3.488
26,1,2015,10.209
27,1,2015,50.778
28,1,2015,75.317
29,1,2015,50.118
30,1,2015,0.6
31,1,2015,21.989
1,2,2015,42.502
2,2,2015,37.045
3,2,2015,8.434
4,2,2015,78.394
5,2,2015,7.597
6,2,2015,2.21
7,2,2015,60.599
8,2,2015,51.997
9,2,2015,17.939
10,2,2015,23.678
11,2,2015,7.286
12,2,2015,76.084
13,2,2015,2.017
14,2,2015,34.522
15,2,2015,57.622
16,2,2015,50.72
17,2,2015,76.236
18,2,2015,73.351
19,2,2015,66
20,2,2015,68.781
21,2,2015,31.09
22,2,2015,36.913
23,2,2015,26.041
24,2,2015,23.836
25,2,2015,56.658
26,2,2015,19.117
27,2,2015,67.991
28,2,2015,25.349
1,3,2015,2.148
2,3,2015,11.177
3,3,2015,26.321
4,3,2015,43.289
5,3,2015,71.426
6,3,2015,60.502
7,3,2015,27.808
8,3,2015,33.412
9,3,2015,76.288
10,3,2015,61.319
11,3,2015,66.417
12,3,2015,16.074
13,3,2015,0
14,3,2015,17.934
15,3,2015,19.778
16,3,2015,75.616
17,3,2015,0.038
18,3,2015,1.899
19,3,2015,23.11
20,3,2015,53.984
21,3,2015,75.575
22,3,2015,37.271
23,3,2015,69.928
24,3,2015,71.377
25,3,2015,56.304
26,3,2015,33.513
27,3,2015,34.899
28,3,2015,78.386
29,3,2015,69.864
30,3,2015,3.499
31,3,2015,52.733
1,4,2015,68.194
2,4,2015,21.164
3,4,2015,34.468
4,4,2015,17.995
5,4,2015,34.078
6,4,2015,43.542
7,4,2015,62.651
8,4,2015,54.254
9,4,2015,6.571
10,4,2015,53.065
11,4,2015,77.715
12,4,2015,16.993
13,4,2015,26.298
14,4,2015,28.095
15,4,2015,31.021
16,4,2015,3.228
17,4,2015,22.628
18,4,2015,20.995
19,4,2015,2.11
20,4,2015,1.779
21,4,2015,34.946
22,4,2015,26.147
23,4,2015,50.729
24,4,2015,31.683
25,4,2015,32.452
26,4,2015,38.182
27,4,2015,47.049
28,4,2015,62.229
29,4,2015,0
30,4,2015,16.628
1,5,2015,70.7
2,5,2015,6.62
3,5,2015,2.247
4,5,2015,27.893
5,5,2015,19.553
6,5,2015,52.28
7,5,2015,52.75
8,5,2015,2.838
9,5,2015,72.125
10,5,2015,54.35
11,5,2015,8.365
12,5,2015,7.885
13,5,2015,2.867
14,5,2015,74.913
15,5,2015,45.221
16,5,2015,79.934
17,5,2015,17.453
18,5,2015,79.025
19,5,2015,11.258
20,5,2015,0.079
21,5,2015,35.625
22,5,2015,19.625
23,5,2015,34.676
24,5,2015,38.425
25,5,2015,41.996
26,5,2015,56.936
27,5,2015,0
28,5,2015,12.018
29,5,2015,50.646
30,5,2015,63.951
31,5,2015,34.433
1,6,2015,40.232
2,6,2015,67.19
3,6,2015,28.15
4,6,2015,43.417
5,6,2015,76.661
6,6,2015,22.435
7,6,2015,70.591
8,6,2015,6.743
9,6,2015,3.87
10,6,2015,34.592
11,6,2015,7.024
12,6,2015,75.959
13,6,2015,37.099
14,6,2015,52.435
15,6,2015,71.719
16,6,2015,51.253
17,6,2015,75.317
18,6,2015,59.659
19,6,2015,53.188
20,6,2015,0
21,6,2015,62.724
22,6,2015,61.105
23,6,2015,52.017
24,6,2015,43.168
25,6,2015,21.144
26,6,2015,64.387
27,6,2015,44.53
28,6,2015,44.517
29,6,2015,23.444
30,6,2015,55.877
1,7,2015,62.014
2,7,2015,75.189
3,7,2015,40.443
4,7,2015,67.857
5,7,2015,73.775
6,7,2015,12.853
7,7,2015,28.483
8,7,2015,44.068
9,7,2015,33.281
10,7,2015,37.297
11,7,2015,72.147
12,7,2015,13.766
13,7,2015,10.19
14,7,2015,70.446
15,7,2015,56.346
16,7,2015,39.786
17,7,2015,47.052
18,7,2015,48.426
19,7,2015,54.275
20,7,2015,33.993
21,7,2015,68.01
22,7,2015,45.227
23,7,2015,62.498
24,7,2015,73.925
25,7,2015,67.831
26,7,2015,34.101
27,7,2015,11.688
28,7,2015,67.273
29,7,2015,3.114
30,7,2015,32.015
31,7,2015,51.326
1,8,2015,56.283
2,8,2015,13.539
3,8,2015,44.105
4,8,2015,68.901
5,8,2015,12.026
6,8,2015,19.54
7,8,2015,0.6
8,8,2015,18.952
9,8,2015,78.873
10,8,2015,13.785
11,8,2015,44.225
12,8,2015,24.528
13,8,2015,12.426
14,8,2015,7.393
15,8,2015,54.119
16,8,2015,13.441
17,8,2015,9.508
18,8,2015,7.796
19,8,2015,16.157
20,8,2015,63.907
21,8,2015,16.753
22,8,2015,73.7
23,8,2015,40.945
24,8,2015,18.992
25,8,2015,44.686
26,8,2015,13.593
27,8,2015,19.612
28,8,2015,46.486
29,8,2015,7.094
30,8,2015,67.785
31,8,2015,45.534
1,9,2015,30.652
2,9,2015,70.88
3,9,2015,19.956
4,9,2015,50.704
5,9,2015,24.513
6,9,2015,79.47
7,9,2015,62.726
8,9,2015,60.919
9,9,2015,66.131
10,9,2015,23.259
11,9,2015,72.758
12,9,2015,30.676
13,9,2015,29.608
14,9,2015,53.431
15,9,2015,14.446
16,9,2015,47.736
17,9,2015,41.266
18,9,2015,10.928
19,9,2015,27.214
20,9,2015,39.018
21,9,2015,63.772
22,9,2015,70.193
23,9,2015,40.02
24,9,2015,3.569
25,9,2015,15.714
26,9,2015,37.728
27,9,2015,57.622
28,9,2015,45.053
29,9,2015,51.397
30,9,2015,58.381
1,10,2015,56.734
2,10,2015,75.287
3,10,2015,55.422
4,10,2015,47.682
5,10,2015,76.147
6,10,2015,12.046
7,10,2015,8.837
8,10,2015,46.433
9,10,2015,23.486
10,10,2015,38.443
11,10,2015,18.444
12,10,2015,4.131
13,10,2015,72.216
14,10,2015,67.899
15,10,2015,68.109
16,10,2015,40.735
17,10,2015,46.072
18,10,2015,47.781
19,10,2015,70.661
20,10,2015,51.627
21,10,2015,44.091
22,10,2015,56.497
23,10,2015,11.279
24,10,2015,48.545
25,10,2015,27.926
26,10,2015,22.932
27,10,2015,37.976
28,10,2015,29.651
29,10,2015,54.168
30,10,2015,43.763
31,10,2015,72.105
1,11,2015,44.765
2,11,2015,7.878
3,11,2015,13.349
4,11,2015,41.54
5,11,2015,27.216
6,11,2015,79.585
7,11,2015,12.492
8,11,2015,61.481
9,11,2015,21.635
10,11,2015,26.493
11,11,2015,66.552
12,11,2015,2.567
13,11,2015,7.41
14,11,2015,69.678
15,11,2015,40.014
16,11,2015,53.272
17,11,2015,40.403
18,11,2015,62.548
19,11,2015,63.734
20,11,2015,23.317
21,11,2015,70.953
22,11,2015,1.874
23,11,2015,32.77
24,11,2015,47.08
25,11,2015,64.028
26,11,2015,41.214
27,11,2015,6.804
28,11,2015,70.789
29,11,2015,67.827
30,11,2015,67.553
1,12,2015,31.833
2,12,2015,44.506
3,12,2015,9.998
4,12,2015,15.509
5,12,2015,60.921
6,12,2015,49.702
7,12,2015,6.033
8,12,2015,19.476
9,12,2015,43.469
10,12,2015,75.487
11,12,2015,2.299
12,12,2015,2.573
13,12,2015,76.583
14,12,2015,11.314
15,12,2015,6.547
16,12,2015,12.305
17,12,2015,48.772
18,12,2015,51.249
19,12,2015,21.626
20,12,2015,16.337
21,12,2015,15.336
22,12,2015,24.661
23,12,2015,13.542
24,12,2015,7.812
25,12,2015,66.459
26,12,2015,60.457
27,12,2015,12.869
28,12,2015,58.153
29,12,2015,3.158
30,12,2015,56.749
31,12,2015,48.918
